trade_index,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl,pnl_pct,leverage,entry_fee,exit_fee,funding_fee,liquidated
79,2024-08-04 14:00:00+00:00,2024-08-04 17:00:00+00:00,buy,59593.782,57815.47780000001,0.0839433214693439,-151.62877167029285,-0.15162877167029284,5.0,2.50125,2.426611619434558,0.0,False
80,2024-08-04 17:00:00+00:00,2024-08-05 00:00:00+00:00,buy,57873.322199999995,56115.828050000004,0.08643879096334303,-154.26504174163375,-0.15426504174163375,5.0,2.5012499999999998,2.425292165274426,0.0,False
81,2024-08-05 00:00:00+00:00,2024-08-05 01:00:00+00:00,buy,56171.97195,54362.305250000005,0.08905686993600373,-163.50337894816482,-0.16350337894816483,5.0,2.50125,2.4206683740352917,0.0,False
82,2024-08-05 01:00:00+00:00,2024-08-05 05:00:00+00:00,buy,54416.694749999995,52670.0518,0.09192950845291831,-162.90874993036434,-0.16290874993036433,5.0,2.50125,2.4209659860818724,0.0,False
83,2024-08-05 05:00:00+00:00,2024-08-05 06:00:00+00:00,buy,52722.7482,51536.31895,0.09488314192240836,-114.96084090270719,-0.1149608409027072,5.0,2.50125,2.444963932545677,0.0,False
84,2024-08-05 06:00:00+00:00,2024-08-05 12:00:00+00:00,buy,51587.881049999996,49765.105,0.09697044922530308,-179.07995115998696,-0.17907995115998696,5.0,2.50125,2.4128722937971885,0.0,False
85,2024-08-05 12:00:00+00:00,2024-08-05 13:00:00+00:00,buy,49814.895,51901.73615,0.1004217714400482,206.8535230768792,0.2068535230768792,5.0,2.5012499999999998,2.606032142498494,0.0,False
86,2024-08-05 13:00:00+00:00,2024-08-05 15:00:00+00:00,buy,51953.66385,54262.6551,0.09628772312272642,219.6039882167263,0.2196039882167263,5.0,2.50125,2.6124137550863993,0.0,False
87,2024-08-07 18:00:00+00:00,2024-08-08 02:00:00+00:00,buy,54812.89275,57305.333000000006,0.09126502450465908,224.74395471189183,0.22474395471189182,5.0,2.50125,2.6149863102463247,0.0,False
88,2024-08-09 14:00:00+00:00,2024-08-11 20:00:00+00:00,buy,60352.161,58450.76,0.08288849839196313,-159.9479588386237,-0.1599479588386237,5.0,2.50125,2.4224478631345114,0.0,False
89,2024-08-11 20:00:00+00:00,2024-08-13 16:00:00+00:00,buy,58509.24,61090.4395,0.08549931600547196,217.96890607706814,0.21796890607706815,5.0,2.50125,2.6115953958618334,0.0,False
90,2024-08-14 13:00:00+00:00,2024-08-15 01:00:00+00:00,buy,59612.7915,58143.61365,0.08391655337931961,-125.6663339384478,-0.1256663339384478,5.0,2.50125,2.439605829263381,0.0,False
91,2024-08-15 01:00:00+00:00,2024-08-15 19:00:00+00:00,buy,58201.786349999995,56973.8988,0.08595097012859984,-107.93386437654351,-0.10793386437654351,5.0,2.5012499999999998,2.4484809369343354,0.0,False
92,2024-08-15 19:00:00+00:00,2024-08-16 18:00:00+00:00,buy,57030.9012,59401.984150000004,0.08771560495698426,205.27179635633797,0.20527179635633797,5.0,2.5012499999999998,2.60524048768122,0.0,False
93,2024-08-18 23:00:00+00:00,2024-08-20 04:00:00+00:00,buy,58419.195,60810.479550000004,0.08563110121596164,202.06236217437745,0.20206236217437745,5.0,2.50125,2.6036341646686076,0.0,False
94,2024-08-20 14:00:00+00:00,2024-08-23 17:00:00+00:00,buy,59468.41935,62934.81685,0.0841202785390663,288.8015517660462,0.2888015517660462,5.0,2.50125,2.6470471616135614,0.0,False
95,2024-08-27 14:00:00+00:00,2024-08-27 21:00:00+00:00,buy,61846.007549999995,60349.4102,0.08088638536538807,-123.43457588739263,-0.12343457588739262,5.0,2.50125,2.440722825005541,0.0,False
96,2024-08-27 21:00:00+00:00,2024-08-28 00:00:00+00:00,buy,60409.7898,59020.475000000006,0.08280942570007088,-117.43459109161996,-0.11743459109161997,5.0,2.50125,2.4437258196476956,0.0,False
97,2024-08-28 00:00:00+00:00,2024-09-01 14:00:00+00:00,buy,59079.524999999994,57818.2764,0.0846740050804403,-109.18945207913332,-0.10918945207913332,5.0,2.5012499999999998,2.447852514817951,0.0,False
98,2024-09-01 22:00:00+00:00,2024-09-05 15:00:00+00:00,buy,57301.63649999999,55919.0265,0.08730117158172263,-123.08404952855216,-0.12308404952855216,5.0,2.5012499999999998,2.4408982635796974,0.0,False
99,2024-09-05 15:00:00+00:00,2024-09-06 14:00:00+00:00,buy,55974.9735,54681.94535000001,0.08937029688812627,-117.9440302156935,-0.1179440302156935,5.0,2.50125,2.4434708451748985,0.0,False
100,2024-09-06 14:00:00+00:00,2024-09-06 18:00:00+00:00,buy,54736.65465,53306.3335,0.09139213991039914,-133.09067321064086,-0.13309067321064086,5.0,2.5012499999999998,2.4358899446711986,0.0,False
101,2024-09-06 18:00:00+00:00,2024-09-09 13:00:00+00:00,buy,53359.6665,55624.3739,0.09375058594116213,209.60413114243548,0.20960413114243548,5.0,2.50125,2.607408822867643,0.0,False
102,2024-09-11 13:00:00+00:00,2024-09-12 01:00:00+00:00,buy,55741.856999999996,58091.63965,0.08974404996948702,208.1669352408809,0.2081669352408809,5.0,2.50125,2.6066895057795167,0.0,False
103,2024-09-15 23:00:00+00:00,2024-09-16 14:00:00+00:00,buy,59130.05025,57560.6053,0.0846016531163019,-135.14614278560688,-0.13514614278560688,5.0,2.50125,2.4348611813774843,0.0,False
104,2024-09-16 14:00:00+00:00,2024-09-17 14:00:00+00:00,buy,57618.1947,60217.37625,0.08682153312936061,222.93806851353315,0.22293806851353315,5.0,2.50125,2.614082463526274,0.0,False
105,2024-09-18 14:00:00+00:00,2024-09-19 00:00:00+00:00,buy,59494.03215,62175.4967,0.08408406388370837,222.74177442651526,0.22274177442651527,5.0,2.50125,2.6139842182620496,0.0,False
106,2024-09-25 17:00:00+00:00,2024-09-27 09:00:00+00:00,buy,63174.07124999999,65680.9431,0.07918596824642674,195.80936523971738,0.19580936523971737,5.0,2.50125,2.6005045373559805,0.0,False
107,2024-09-30 02:00:00+00:00,2024-10-01 13:00:00+00:00,buy,64382.875349999995,62807.48055000001,0.0776992324869815,-124.78584044360524,-0.12478584044360524,5.0,2.50125,2.4400465165880094,0.0,False
